Image_name,Caption
im1_0.jpg,أوغست فيوكاري فلاح من هامي رفقة أبناءه في الحرس الأبيض، شارك ستة من الأولاد إلى جانب والدهم في فتح تامبيري.
im1_1.jpg,تفاصيل كيفية ربط الشبكة (في نظام الحائطين) بقرب قدم الطماطم حين لا يزال صغيرًا. يسمح هذا النظام بالتقليل من العمل المطلوب حيث ينمو النبات للأعلى بالانحناء على الشبكة بدون الحاجة للتوجيه اليدوي.
im1_2.jpg,كركوك، المدينة الخامسة من حيث الكثافة السكانية في العراق Green Arrow Up Darker.svg
im1_3.jpg,رسم يبيّن الحجرة النبوية وما حولها من الجُدُر
im1_4.png,توزيع مناطق العزل الصحي الكلي والجزئي على ولايات الجزائر: الأزرق القاتم (حجر كلي) الأزرق الفاتح (حجر جزئي)
im1_5.jpg,جوون فوراي
im1_6.gif,الوستارية الصينية في عدة فصول سنوية مختلفة
im1_7.jpg,وسط المدينة
im1_8.JPG,أنقاض المدينة القديمة خور روري
im1_9.svg,"A pictorial representation of the tangent space of a single point, x, on a كرة. A vector in this tangent space can represent a possible velocity at x. After moving in that direction to another nearby point, one's velocity would then be given by a vector in the tangent space of that nearby point—a different tangent space, not shown."
im1_10.PNG,خريطة تخيلية تظهر التوزيع العالمي لانتاج القطن في عام 2005 كنسبة مئوية من المنتج الأول (الصين - 11400000 طن) وملاحظ تدني إنتاج القطن المصري.
im1_11.jpg,طبقات جدار المعدة.
im1_12.jpg,قصر بلدية ليما
im1_13.png,موقع حارة الأرمن بالبلدة القديمة.
im1_14.jpg,جذوع النخيل تساعد على صلابة المبنى وعند القيام بترميمات .
im1_15.jpg,حجر أساس منقوش فيه رسوم من البرونز في آخن.
im1_16.jpg,مجموعة من 104 عالم صواريخ (مهندسي فضاء) في فورت بليس بولاية تكساس
im1_17.jpg,مدخل المنجم
im1_18.jpg,منبذة فائقة.
im1_20.jpg,الإمام عبد الحميد بن باديس
im1_21.jpg,صورة الجائزة في حفل توزيع الجائزة الـ 48 في 21 يناير 2013
im1_22.jpg,أقراص الوقود]]
im1_23.jpg,لوحة تتويج البطل لوحة للرسام البلجيكي بيتر بول روبنس، حوالي 1612-1614
im1_24.svg,شعار عائلة دميدوف
im1_25.JPG,المدرسة الأسعردية
im1_26.jpg,جامعة الزقازيق-طريق النخيل
im1_27.jpg,أعضاء الجسم في لغة توكي بونا
im1_28.png,نهر فيتيم
im1_29.svg,رسم أويلر البياني يبين أنواع أجرام النظام الشمسي (أنظر جرم نظام شمسي صغير).
im1_30.jpg,"صورة تعود إلي فترة ما بين "" 350 ق.م إلي 340 ق.م"
im1_31.jpg,طفل يتم تطعيمه ضد شلل الأطفال.
im1_32.jpg,رسمة مقتبسة عن كتاب كليلة ودمنة
im1_33.jpg,ضيف من الخارج . نيكولاس روريش . 1901
im1_34.jpg,المعمودية، وهو سر دخول المرء في المسيحية.
im1_35.png,شعار الجامعة الوطنية
im1_36.PNG,أقاليم كرواتيا الرئيسية:   شمال غرب كرواتيا    كرواتيا الوسطى والشرقية (بانونيا)    كرواتيا الأدرياتيكية
im1_37.jpg,صورة الأشعة السينية البانورامية تظهر كيسة تاجية (المشار إليها).
im1_38.JPG,"أحد أعمال ""بيقوز"" الزجاجية."
im1_39.jpg,منظر للأسفل في 6 أغسطس 2006 لمظاهرة في مونتريال.
im1_40.jpg,"Helical gears تروس اهليجية
أعلى:  تشكيل متوازي  
أسفل: تشكيل متقاطع"
