,Image_name,Caption
50715,im3_1.jpg,محمكة العدل 2008.
50716,im3_2.jpg,والي اليمن أحمد مختار باشا
50717,im3_3.JPG,مدينة السلط التاريخية مسقط رأس علي أبو نوار ومدينة عائلته.
50718,im3_4.jpg,"لوحة موت ""سقراط"" للرسام جاك لوي ديفيد"
50719,im3_5.png,Martijn Krabbé
50720,im3_6.jpg,آصف على زردارى في سبتمبر 2008
50721,im3_7.jpeg,غاستون في 1611 من قبل بوريص الأصغر، موجودة في بالاتسو بيتي، فلورنسا.
50722,im3_8.jpg,خريطة طبوغرافية لمنطقة طنجة سبتة (خريطة 1954)
50723,im3_9.jpg,مخطوطة عربية ، قديمة ، معنونة تحت اسم علم تشريح العين.
50724,im3_10.jpg,جول فاري
50725,im3_11.jpg,إحدى بواخر فايكنغ لاين في طريقها نحو أرخبيل توركو.
50726,im3_12.svg,محركات البحث الأكثر استخداما ونسبة السيطرة على محركات البحث في اوخر 2010
50727,im3_13.jpg,خصصت مستشفيات يوتا محطات لإجراء الاختبارات أثناء القيادة.
50728,im3_14.JPG,حشد من اليهود يتلون صلاتهم عند حائط البراق، أو حائط المبكى.
50729,im3_15.jpg,"الملكة تمار كما هو مبين على لوحة جدارية في دير فاردزيا: تسيدت تامار ""العصر الذهبي"" على عرش الملكية الجورجية في القرون الوسطى.[32]"
50730,im3_16.JPG,حصن سنيلنغ لعب دوراً محورياً في تاريخ مينيسوتا وفي تطور منيابولس وسانت بول القربيتين
50731,im3_17.png,تصميم فرن التسويط المزدوج
50732,im3_18.JPG,"أغنية ""Freight Train Boogie"" للأخوة ديلمور، وهي من أنجح تسجيلات كينغ"
50733,im3_19.jpg,فرع من (بنكو دو برازيل)
50734,im3_20.jpg,فرقة ڤافن إس إس في فرنسا سنة 1940
50735,im3_21.jpg,ألابا يلعب مع النمسا في 2014
50736,im3_22.svg,موقع المقاطعة بالنسبة لكرواتيا.
50737,im3_23.svg,خريطة تخطيطية لروما تظهر التلال السبعة (يمين الخريطة).
50738,im3_24.jpg,أومبركل - Umbracle
50739,im3_25.svg,الخريطة الوردية تظهر ادعاء البرتغال الفاشل في امتلاكها الأرض بين أنغولا والموزامبيق في الشطر الثاني من القرن التاسع عشر.
50740,im3_26.jpg,التبليط العمودي في يبريدج ، ساري
50741,im3_27.JPG,Mi-12
50742,im3_28.jpg,لوح بكتي يصور معركة يظن بأنها معركة نيخاتنسمير
50743,im3_29.jpg,المجلس الإداري لجمعية العلماء - 1949. (الجلوس، من اليمن إلى الشمال) أحمد بوشمال، عبد اللطيف سلطاني، محمد خير الدين، محمد البشير الإبراهيمي (نائب الرئيس)، العربي التبسي، أحمد توفيق المدني، عباس بن الشيخ الحسين، نعيم النعيمي، (الوقوف من خلف) مجهول، حمزة بوكوشة، أحمد سحنون، عبد القادر المغربي، الجيلالي الفارسي، أبو بكر الأغواطي، أحمد حماني، باعزيز بن عمر، مجهول، مجهول.
50744,im3_30.jpg,شاب فلسطيني يتحدى جنود الاحتلال، ويتظاهر ضد مصادرة أراضي قرى رام الله.
50745,im3_31.jpg,باولو مالديني أكثر اللاعبين مشاركة برصيد  902 مباراة .
50746,im3_32.jpg,مقدمة ميثاق الحقوق الأساسية للاتحاد الأوروبي
50747,im3_33.png,رسم نصف لوغاريتمي لوفيات كوفيد-19 اليومية تبعًا للمنطقة: مقاطعة هوبي، وبر الصين الرئيسي باستثناء هوبي، وبقية دول العالم، والعالم بالمجمل.[17][18]
50748,im3_34.jpg,Sunlight on Mars is dimmer than on Earth. This photo of a Martian sunset was imaged by مارس باثفايندر.
50749,im3_35.jpg,ساعة فلكية في مدينة براغ
50750,im3_36.jpg,صورة من المعملة الداخلي لمحطة سكاي لاب بي أثناء التصنيع معروضة في متحف الطيران والفضاء الوطني في واشنطن.
50751,im3_37.jpg,نشأ ابن تيمية في مدينة دمشق.
50752,im3_38.jpg,الفيلسوف توم ريغان
50753,im3_39.jpg,شبكة صيد حشرات الأراضي المعشوبة
50754,im3_40.jpg,كافور
50755,im3_41.jpg,منظر جوي للحرم الجامعي الرئيس بجامعة غراتس
50756,im3_42.jpg,سقف مقبرة سنفر
50757,im3_43.jpg,طائرة هندية عند عرض جوي ببريطانيا سنة 2008.
50758,im3_44.jpg,رسم كاريكاتيري فرنسي يظهر القيصر الألماني فيلهلم الثاني واضعا الخنجر على إمرآة (رومانيا) ويملي عليها شروط الاستسلام
50759,im3_45.svg,تمثيل هندسي لجمع الأعداد السالبة والموجبة. تمثل الكرات الكبيرة أعدادا ذات قيمة مطلقة كبيرة.
50760,im3_46.png,الرايخ الثالث 1939
50761,im3_47.jpg,نجمة على ممشى النجوم في برمنغهام
50762,im3_48.jpg,دراجات هوائية أمام محطة قطارات ميامي، فلوريدا في الولايات المتحدة عام 2011.
50763,im3_49.jpg,الدولة الاموية في عهد هشام بن عبد الملك
50764,im3_50.jpg,بلدوين الثالث يتسلَّم عسقلان من حاميتها.
50765,im3_51.jpg,دول الشرق الأوسط.
50766,im3_52.jpg,المقاتلة متعددة المهام يوروفايتر تايفون تستخدم الجناح دلتا.
50767,im3_53.JPG,أفعوانان يتجامعان أثناء تسلّقهما جذع شجرة.
50768,im3_54.JPG,شارع الملك طلال
50769,im3_55.jpg,Quinty Trustfull
50770,im3_56.jpg,هراسة البطاطا
50771,im3_57.JPG,سيتي مول - المدخل الرئيسي
50772,im3_58.JPG,نافاس مع ريال مدريد في 2016
50773,im3_60.jpg,تضخيم 10x تراكم الحديد الذي أبداه تلطيخ الأزرق البروسي في المريض مع الاصطباغ الدموي (هيموكروماتوزيز الوراثية متماثلة اللواقح أجزاء من أنسجة طبيعية للنسيج الوردي موجودة بالكاد.
50774,im3_61.jpg,المذنب 17P/Holmes وGeminid.
50775,im3_62.jpg,عادة ما يفرخ المرجان الدماغي فيما يتعلق بالقمر الكامل في أغسطس
50776,im3_63.jpg,سرء (بيوض) سمكة المهرج. النقاط السود هي العيون في مرحلة التكون.
50777,im3_64.jpg,قاعة فيكتوريا في طور الإنجاز
50778,im3_65.jpg,رسم بواسطة وليام هنري بارتليت لكفرصغاب وإهدن في عام 1838
50779,im3_66.png,الملحقات في العالم
50780,im3_67.jpg,"Wyoming State Capitol, Cheyenne"
50781,im3_68.JPG,واجهة عرض لمجموعة من المعجنات الفرنسية
50782,im3_69.png,"كتاب الباري في أحكام النجوم, 1523"
